17,Akola Jn,2,03:20 PM,03:15 PM,5M Before,03:25 PM,03:25 PM,No Delay, 1322 Kms,02732
18,Washim,2,04:35 PM,05:10 PM,35 Mins,04:36 PM,05:11 PM,35 Mins, 1401 Kms,02732
19,Hingoli Deccan,2,05:15 PM,05:55 PM,40 Mins,05:16 PM,05:56 PM,40 Mins, 1449 Kms,02732
20,Basmat,2,06:08 PM,06:50 PM,42 Mins,06:09 PM,06:51 PM,42 Mins, 1507 Kms,02732
21,Purna Jn,2,06:45 PM,07:18 PM,33 Mins,07:10 PM,08:28 PM,1 Hr 18 Mins, 1529 Kms,02732
22,H Sahib Nanded,2,07:45 PM,09:05 PM,1 Hr 20 Mins,07:50 PM,09:14 PM,1 Hr 24 Mins, 1560 Kms,02732
23,Mudkhed,2,08:23 PM,09:40 PM,1 Hr 17 Mins,08:25 PM,09:40 PM,1 Hr 15 Mins, 1582 Kms,02732
24,Dharmabad,2,09:03 PM,10:26 PM,1 Hr 23 Mins,09:05 PM,10:28 PM,1 Hr 23 Mins, 1631 Kms,02732
25,Nizamabad,2,09:40 PM,11:04 PM,1 Hr 24 Mins,09:42 PM,11:25 PM,1 Hr 43 Mins, 1670 Kms,02732
26,Kamareddi,3,10:30 PM,12:08 AM,1 Hr 38 Mins,10:32 PM,12:22 AM,1 Hr 50 Mins, 1722 Kms,02732
27,Medchal,3,11:40 PM,02:39 AM,2 Hrs 59 Mins,11:42 PM,02:41 AM,2 Hrs 59 Mins, 1803 Kms,02732
28,Secunderabad Jn,3,01:00 AM,03:17 AM,2 Hrs 17 Mins,01:10 AM,03:35 AM,2 Hrs 25 Mins, 1833 Kms,02732
29,Hussain Sagar Jn,4,01:50 AM,12:40 AM,70M Before,01:50 AM,12:40 AM,70M Before, 1836 Kms,02732
1,Rajkot Jn,1,Source,Source,No Delay,10:20 PM,10:20 PM,No Delay, 0 Kms,02833
2,Wankaner Jn,1,11:05 PM,11:05 PM,No Delay,11:07 PM,11:07 PM,No Delay, 41 Kms,02833
3,Surendranagar,1,12:27 AM,12:27 AM,No Delay,12:29 AM,12:29 AM,No Delay, 116 Kms,02833
4,Viramgam Jn,1,01:56 AM,01:56 AM,No Delay,01:58 AM,01:58 AM,No Delay, 180 Kms,02833
5,Ahmedabad Jn,1,03:10 AM,03:10 AM,No Delay,03:30 AM,03:30 AM,No Delay, 246 Kms,02833
6,Nadiad Jn,1,04:13 AM,04:13 AM,No Delay,04:15 AM,04:15 AM,No Delay, 291 Kms,02833
7,Anand Jn,1,04:42 AM,04:42 AM,No Delay,04:44 AM,04:44 AM,No Delay, 310 Kms,02833
8,Vadodara Jn,1,05:27 AM,05:27 AM,No Delay,05:32 AM,05:32 AM,No Delay, 345 Kms,02833
9,Bharuch Jn,1,06:35 AM,06:35 AM,No Delay,06:37 AM,06:37 AM,No Delay, 415 Kms,02833
10,Surat,1,07:45 AM,07:45 AM,No Delay,07:53 AM,07:53 AM,No Delay, 474 Kms,02833
11,Nandurbar,1,10:40 AM,10:40 AM,No Delay,10:50 AM,10:50 AM,No Delay, 634 Kms,02833
12,Amalner,1,12:55 PM,12:55 PM,No Delay,12:57 PM,12:57 PM,No Delay, 730 Kms,02833
13,Jalgaon Jn,1,02:10 PM,02:10 PM,No Delay,02:15 PM,02:15 PM,No Delay, 785 Kms,02833
14,Bhusaval Jn,1,02:40 PM,02:40 PM,No Delay,02:50 PM,02:50 PM,No Delay, 809 Kms,02833
15,Malkapur,1,03:33 PM,03:33 PM,No Delay,03:35 PM,03:35 PM,No Delay, 859 Kms,02833
16,Akola Jn,1,04:40 PM,04:40 PM,No Delay,04:42 PM,04:42 PM,No Delay, 949 Kms,02833
17,Badnera Jn,1,06:15 PM,06:15 PM,No Delay,06:20 PM,06:20 PM,No Delay, 1028 Kms,02833
18,Wardha Jn,1,08:04 PM,08:04 PM,No Delay,08:06 PM,08:06 PM,No Delay, 1123 Kms,02833
19,Nagpur,1,10:00 PM,10:00 PM,No Delay,10:10 PM,10:10 PM,No Delay, 1202 Kms,02833
20,Gondia Jn,1,11:55 PM,11:55 PM,No Delay,11:57 PM,11:57 PM,No Delay, 1332 Kms,02833
21,Durg,1,02:15 AM,02:15 AM,No Delay,02:20 AM,02:20 AM,No Delay, 1466 Kms,02833
22,Raipur Jn,1,02:55 AM,02:55 AM,No Delay,03:05 AM,03:05 AM,No Delay, 1501 Kms,02833
23,Bilaspur Jn,1,04:55 AM,04:55 AM,No Delay,05:10 AM,05:10 AM,No Delay, 1612 Kms,02833
24,Jharsuguda Jn,1,08:35 AM,08:35 AM,No Delay,08:40 AM,08:40 AM,No Delay, 1821 Kms,02833
25,Rourkela,1,10:10 AM,10:10 AM,No Delay,10:25 AM,10:25 AM,No Delay, 1923 Kms,02833
26,Chakradharpur,1,11:45 AM,11:45 AM,No Delay,11:50 AM,11:50 AM,No Delay, 2022 Kms,02833
